lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
logrotate 3.22.0-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-1
lsscsi 0.32-2
lua 5.4.8-2
lua51-lpeg 1.1.0-3
lua53 5.3.6-4
luajit 2.1.1748459687-1
luit 20240910-1
lv2 1.18.10-1
lvm2 2.03.33-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
maliit-framework 2.3.0-3
maliit-keyboard 2.3.1-4
man-db 2.13.1-1
man-pages 6.14-1
md4c 0.5.2-1
mdadm 4.4-1
media-player-info 26-1
megasync 5.14.0.2-1
meld 3.22.3-1
mesa 1:25.1.6-1
mesa-utils 9.0.0-7
meson 1.8.2-2
milou 6.4.3-1
miniupnpc 2.3.3-1
minizip 1:1.3.1-2
mjpegtools 2.2.1-3
mobile-broadband-provider-info 20250613-1
modemmanager 1.24.0-2
modemmanager-qt 6.16.0-1
mpd 0.24.4-2
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.0-1
mpv 1:0.40.0-4
mpvqt 1.1.1-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
mujs 1.3.7-1
nano 8.5-1
nano-syntax-highlighting 2022.11.02.r102.gbb94603-1
ncurses 6.5-4
neon 0.35.0-1
neovim 0.11.3-1
net-tools 2.10-3
netctl 1.29-2
netpbm 10.86.47-1
netstandard-targeting-pack 9.0.5.sdk106-1
netstat-nat 1.4.10-5
nettle 3.10.2-1
networkmanager 1.52.1-1
networkmanager-openconnect 1.2.10-3
networkmanager-openvpn 1.12.0-1
networkmanager-qt 6.16.0-1
nfs-utils 2.8.3-2
nfsidmap 2.8.3-2
nftables 1:1.1.3-1
nilfs-utils 2.2.11-1
ninja 1.12.1-2
node-gyp 11.2.0-1
nodejs 24.4.1-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.048-1
noto-fonts-extra 1:2025.07.01-1
npm 11.4.2-1
npth 1.8-1
nspr 4.36-1
nss 3.113.1-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-3
numactl 2.0.19-1
oath-toolkit 2.6.12-2
ocean-sound-theme 6.4.3-1
ocl-icd 2.3.3-1
oh-my-posh 26.16.0-1
okular 25.04.3-1
